what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1341227770943
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1341227770943
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1341227770943
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1341227770943
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1341227770943
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1341227770943
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1341227770943
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1341227770943
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1341227770943
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1341227770943
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1341227770943
started,bundle,com.google.appengine.eclipse.core,2.4.2.relr36v201110112027,"com.google.appengine.eclipse.core",1341227770943
started,bundle,com.google.gdt.eclipse.core,2.4.2.relr36v201110112027,"com.google.gdt.eclipse.core",1341227770943
started,bundle,com.google.gdt.eclipse.login,2.4.2.relr36v201110112027,"com.google.gdt.eclipse.login",1341227770943
started,bundle,com.google.gdt.eclipse.managedapis,2.4.2.relr36v201110112027,"com.google.gdt.eclipse.managedapis",1341227770943
started,bundle,com.google.gdt.eclipse.platform.e36,2.4.2.relr36v201110112027,"com.google.gdt.eclipse.platform.e36",1341227770943
started,bundle,com.google.gdt.eclipse.platform.shared,2.4.2.relr36v201110112027,"com.google.gdt.eclipse.platform.shared",1341227770943
started,bundle,com.google.gdt.eclipse.suite,2.4.2.relr36v201110112027,"com.google.gdt.eclipse.suite",1341227770943
started,bundle,com.google.gwt.eclipse.core,2.4.2.relr36v201110112027,"com.google.gwt.eclipse.core",1341227770943
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1341227770943
started,bundle,com.collabnet.subversion.merge,3.0.4,"com.collabnet.subversion.merge",1341227770943
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.4.v20111106-0100,"org.eclipse.mylyn.bugzilla.core",1341227770943
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1341227770943
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1341227770943
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1341227770943
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1341227770943
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1341227770943
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1341227770943
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1341227770943
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1341227770943
started,bundle,org.tigris.subversion.clientadapter,1.8.0,"org.tigris.subversion.clientadapter",1341227770943
started,bundle,org.tigris.subversion.subclipse.core,1.8.3,"org.tigris.subversion.subclipse.core",1341227770943
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1341227770943
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1341227770943
started,bundle,org.tigris.subversion.subclipse.ui,1.8.3,"org.tigris.subversion.subclipse.ui",1341227770943
os,sysinfo,,,"macosx",1341227770948
arch,sysinfo,,,"x86_64",1341227770948
ws,sysinfo,,,"cocoa",1341227770948
locale,sysinfo,,,"en_US",1341227770948
processors,sysinfo,,,"4",1341227770948
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1341227770948
java.runtime.version,sysinfo,,,"1.6.0_31-b04-415-11M3646",1341227770948
java.specification.name,sysinfo,,,"Java Platform API Specification",1341227770948
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1341227770948
java.specification.version,sysinfo,,,"1.6",1341227770948
java.vendor,sysinfo,,,"Apple Inc.",1341227770948
java.version,sysinfo,,,"1.6.0_31",1341227770948
java.vm.info,sysinfo,,,"mixed mode",1341227770948
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1341227770948
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1341227770948
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1341227770948
java.vm.specification.version,sysinfo,,,"1.0",1341227770948
java.vm.vendor,sysinfo,,,"Apple Inc.",1341227770948
java.vm.version,sysinfo,,,"20.6-b01-415",1341227770948
error,log,,,"Invalid preference page path: CSS Files",1341227776974
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227777157
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227786966
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1341227790857
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20100505,"org.eclipse.jdt.launching.macosx",1341227790862
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227791705
started,bundle,org.tigris.subversion.clientadapter.javahl,1.7.1.1,"org.tigris.subversion.clientadapter.javahl",1341227798116
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227798416
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227798829
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227800508
started,bundle,com.google.gdt.eclipse.appengine.rpc,2.4.2.relr36v201110112027,"com.google.gdt.eclipse.appengine.rpc",1341227800580
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1341227800591
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1341227800597
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1341227803184
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1341227803185
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227808138
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1341227832156
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227833597
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1341227835613
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1341227835666
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1341227836068
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1341227842792
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1341227855706
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1341227858462
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1341227865039
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1341227867280
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1341227867399
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1341227867439
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227867453
started,bundle,com.google.gdt.eclipse.maven,2.4.2.relr36v201110112027,"com.google.gdt.eclipse.maven",1341227867923
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1341227868801
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1341227874838
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227879446
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227937954
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1341227939879
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1341227945721
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227946721
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227948060
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227951848
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227951945
error,log,,,"Unhandled event loop exception",1341227952088
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227957313
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227957402
error,log,,,"Unhandled event loop exception",1341227957451
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227960880
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227960947
error,log,,,"Unhandled event loop exception",1341227960987
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227965582
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227965657
error,log,,,"Unhandled event loop exception",1341227965701
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227969418
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227969505
error,log,,,"Unhandled event loop exception",1341227969545
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227972436
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227972500
error,log,,,"Unhandled event loop exception",1341227972538
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227978406
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341227978502
error,log,,,"Unhandled event loop exception",1341227978572
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1341227992279
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1341228029328
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1341228032778
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341228054623
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341228055867
